PERIOD,LOCATION,OBSERVED_OR_FORECAST_VALUE,LOG1P_VALUE,TREND_COMPONENT,SEASONAL_COMPONENT,RESIDUAL_COMPONENT,RESIDUAL_Z_SCORE,RESIDUAL_ANOMALY,TREND_STRENGTH,SEASONAL_STRENGTH,SERIES_STATUS
2025-06,KIDAPAWAN,2.8098622123582238,1.3375930237492755,1.18752393561356,6.161214599704732e-05,0.15000747598971836,0.6077360122789063,0,0.6565761668958854,0.0,FORECAST SCENARIO
2025-07,KIDAPAWAN,1.8679427184484942,1.0535949498909494,1.195265606533064,6.161214599704732e-05,-0.14173226878811168,-0.5737248156445758,0,0.6565761668958854,0.0,FORECAST SCENARIO
2025-08,KIDAPAWAN,2.520954538268572,1.258732128493017,1.1926966886329775,6.161214599704732e-05,0.06597382771404252,0.26742426030689537,0,0.6565761668958854,0.0,FORECAST SCENARIO
2025-09,KIDAPAWAN,1.4050124983901655,0.8775551003800486,1.1876702268344024,6.161214599704732e-05,-0.31017673860035083,-1.2558757612246971,0,0.6565761668958854,0.0,FORECAST SCENARIO
2025-10,KIDAPAWAN,2.576075211367559,1.2742658893517145,1.1827426102737335,6.161214599704732e-05,0.09146166693198392,0.37064257102195286,0,0.6565761668958854,0.0,FORECAST SCENARIO
2025-11,KIDAPAWAN,3.2563168527978177,1.4484041977639195,1.1775618618377146,6.161214599704732e-05,0.27078072378020784,1.0968324205664437,0,0.6565761668958854,0.0,FORECAST SCENARIO
2025-12,KIDAPAWAN,1.1947041011679935,0.7860472315939933,1.1750356952566459,6.161214599704732e-05,-0.38905007580864964,-1.5752897593077106,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-01,KIDAPAWAN,0.8027601948243158,0.5893189319502133,1.1734903231876979,-0.0006777336059675204,-0.583493657631517,-2.362729521208502,1,0.6565761668958854,0.0,FORECAST SCENARIO
2026-02,KIDAPAWAN,3.426519683502031,1.4876136508007565,1.1727626091904868,6.161214599704732e-05,0.31478942946427263,1.2750548355237603,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-03,KIDAPAWAN,3.906704304699083,1.5906024953978501,1.1724046958184653,6.161214599704732e-05,0.4181361874333878,1.6935790456082727,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-04,KIDAPAWAN,3.546035049279713,1.514255435316977,1.172688723373242,6.161214599704732e-05,0.3415050997977381,1.3832455039386642,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-05,KIDAPAWAN,1.416802313605464,0.8824453083910354,1.1760739273899996,6.161214599704732e-05,-0.29369023114496123,-1.1891102172888013,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-06,KIDAPAWAN,2.7398614262002883,1.3190485589219003,1.1803080336245277,6.161214599704732e-05,0.13867891315137554,0.5618586387987715,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-07,KIDAPAWAN,1.8430072475427721,1.0448623819244147,1.1828054221714324,6.161214599704732e-05,-0.13800465239301468,-0.5586290570749428,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-08,KIDAPAWAN,2.505864606257555,1.25443716802876,1.184766526773483,6.161214599704732e-05,0.06960902910927995,0.2821457650965718,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-09,KIDAPAWAN,1.413223561279551,0.8809634310373667,1.191525663113351,6.161214599704732e-05,-0.31062384422198136,-1.2576864085134412,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-10,KIDAPAWAN,2.724335093661196,1.3148883375528095,1.1980878155594539,6.161214599704732e-05,0.11673890984735862,0.4730080281699465,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-11,KIDAPAWAN,3.4781654848684633,1.4992134725782569,1.2048098414258626,6.161214599704732e-05,0.2943420190063973,1.1922487903383514,0,0.6565761668958854,0.0,FORECAST SCENARIO
2026-12,KIDAPAWAN,1.2614719218902979,0.8160158941568494,1.2073586661313367,6.161214599704732e-05,-0.39140438412048434,-1.5848240209127094,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-01,KIDAPAWAN,0.8456881466642017,0.6128521871748207,1.2095581727092408,-0.0006777336059675204,-0.5960282519284525,-2.4134909701397063,1,0.6565761668958854,0.0,FORECAST SCENARIO
2027-02,KIDAPAWAN,3.8005153987019815,1.5687232868791712,1.2098223656101499,6.161214599704732e-05,0.35883930912302425,1.453443993062755,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-03,KIDAPAWAN,4.308707116652061,1.6693483247510859,1.2103125496593365,6.161214599704732e-05,0.4589741629457523,1.8589609286845736,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-04,KIDAPAWAN,3.9279335684583137,1.5949197457138784,1.2076074321649464,6.161214599704732e-05,0.387250701402935,1.568501840498128,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-05,KIDAPAWAN,1.4918644486841073,0.9130312048567254,1.2022267322953688,6.161214599704732e-05,-0.28925713958464044,-1.1711574901788706,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-06,KIDAPAWAN,2.8398858433241965,1.3454426378567503,1.1959959507400058,6.161214599704732e-05,0.14938507497074754,0.6052154697874002,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-07,KIDAPAWAN,1.8520347780227404,1.0480326967353228,1.190482082022582,6.161214599704732e-05,-0.1425109974332563,-0.5768784394009855,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-08,KIDAPAWAN,2.5265476043787163,1.2603193766189997,1.1847408379897495,6.161214599704732e-05,0.07551692648325319,0.3060710253591283,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-09,KIDAPAWAN,1.3361447340235513,0.8485020211046865,1.1737518714296102,6.161214599704732e-05,-0.32531146247092074,-1.3171669761331557,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-10,KIDAPAWAN,2.491459833365362,1.2503199391178779,1.162307704605826,6.161214599704732e-05,0.0879506223660547,0.35642386515827995,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-11,KIDAPAWAN,3.15554710661173,1.4244440939138996,1.1509617420103428,6.161214599704732e-05,0.2734207397575597,1.1075237148387023,0,0.6565761668958854,0.0,FORECAST SCENARIO
2027-12,KIDAPAWAN,1.1166813676265854,0.7498494695477665,1.1418665835742396,6.161214599704732e-05,-0.39207872617247014,-1.5875549094299715,0,0.6565761668958854,0.0,FORECAST SCENARIO
2028-01,KIDAPAWAN,0.7228109993947277,0.5439572587808312,1.1297891293727655,-0.0006777336059675204,-0.5851541369859667,-2.369453978016237,1,0.6565761668958854,0.0,FORECAST SCENARIO
2028-02,KIDAPAWAN,3.207445475674984,1.436855688157499,1.1180438330997575,6.161214599704732e-05,0.3187502429117444,1.2910949741016018,0,0.6565761668958854,0.0,FORECAST SCENARIO
2028-03,KIDAPAWAN,3.627507206874857,1.5320183228656763,1.1039107490052904,6.161214599704732e-05,0.42804596171438886,1.7337107394763205,0,0.6565761668958854,0.0,FORECAST SCENARIO
2028-04,KIDAPAWAN,3.3006586894798766,1.4587681945680784,1.0933526408395198,6.161214599704732e-05,0.36535394158256157,1.4798263533583107,0,0.6565761668958854,0.0,FORECAST SCENARIO
2028-05,KIDAPAWAN,1.2342135872590794,0.8038893036234875,1.0783582851265985,6.161214599704732e-05,-0.274530593649108,-1.1115192767887232,0,0.6565761668958854,0.0,FORECAST SCENARIO
2028-06,KIDAPAWAN,2.3218212023075395,1.2005131874390607,1.0613418238704715,6.161214599704732e-05,0.13910975142259213,0.5636034080656409,0,0.6565761668958854,0.0,FORECAST SCENARIO
2028-07,KIDAPAWAN,1.4771015366691445,0.9070891414592275,1.0499491677083244,6.161214599704732e-05,-0.14292163839509392,-0.578541415459052,0,0.6565761668958854,0.0,FORECAST SCENARIO
