PERIOD,PSGC,PROVINCE,LOCATION,GLOBAL_MORANS_I,LOCAL_MORANS_I,LOCAL_MORAN_CLUSTER,GI_STAR_Z_SCORE,GI_STAR_P_VALUE,HOTSPOT_CLASS,HOTSPOT_CLUSTER_ID,HOTSPOT_CLUSTER_SIZE,AUTOMATIC_ALERT,ALERT_REASON
2049-02,1206512000,Sultan Kudarat,SEN. NINOY AQUINO,0.3216682844066302,0.3194470615158266,NOT_SIGNIFICANT,-1.2546181898177395,0.20961739700634685,NOT_SIGNIFICANT,0,0,0,NONE
2049-02,1208001000,Sarangani,ALABEL,0.3216682844066302,0.36625406604606453,LOW-LOW,-1.1845759065092891,0.23618516781470522,NOT_SIGNIFICANT,0,0,0,NONE
2049-02,1208002000,Sarangani,GLAN,0.3216682844066302,0.8615050872247236,LOW-LOW,-1.6787968556697148,0.09319164163214466,COLD_SPOT_90,0,0,0,NONE
2049-02,1208003000,Sarangani,KIAMBA,0.3216682844066302,0.32954201474447586,NOT_SIGNIFICANT,-1.4635473673258765,0.14331766240018626,NOT_SIGNIFICANT,0,0,0,NONE
2049-02,1208004000,Sarangani,MAASIM,0.3216682844066302,0.07533902817349879,NOT_SIGNIFICANT,-0.5763522325670836,0.5643771244255009,NOT_SIGNIFICANT,0,0,0,NONE
2049-02,1208005000,Sarangani,MAITUM,0.3216682844066302,0.273867351350565,NOT_SIGNIFICANT,-1.302623466799221,0.19270334213007756,NOT_SIGNIFICANT,0,0,0,NONE
2049-02,1208006000,Sarangani,MALAPATAN,0.3216682844066302,0.9550808842763482,LOW-LOW,-1.6787968556697148,0.09319164163214466,COLD_SPOT_90,0,0,0,NONE
2049-02,1208007000,Sarangani,MALUNGON,0.3216682844066302,-0.3653472279537744,LOW-HIGH,0.5081177893600053,0.6113707403227402,NOT_SIGNIFICANT,0,0,0,NONE
2049-02,1230800000,General Santos City,GENERAL SANTOS,0.3216682844066302,-0.5051334496257691,HIGH-LOW,-0.5263235426562135,0.5986634282423315,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204701000,Cotabato,ALAMADA,0.3231035570499148,0.3386600881928374,NOT_SIGNIFICANT,-1.0410209358064584,0.2978658318059376,NOT_SIGNIFICANT,0,0,1,NEIGHBOR_INFECTIOUS_PRESSURE
2049-03,1204702000,Cotabato,CARMEN,0.3231035570499148,0.5303719319780795,LOW-LOW,-1.5431208975057193,0.12280144524075236,NOT_SIGNIFICANT,0,0,0,NEIGHBOR_INFECTIOUS_PRESSURE
2049-03,1204703000,Cotabato,KABACAN,0.3231035570499148,0.16442957182802626,NOT_SIGNIFICANT,-1.425998359511115,0.1538688155895105,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204704000,Cotabato,KIDAPAWAN,0.3231035570499148,-0.27887923491749095,NOT_SIGNIFICANT,-1.0079759557813772,0.3134660052799685,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204705000,Cotabato,LIBUNGAN,0.3231035570499148,-0.07901141083832555,NOT_SIGNIFICANT,-1.1064145241457,0.2685471418569415,NOT_SIGNIFICANT,0,0,0,NEIGHBOR_INFECTIOUS_PRESSURE
2049-03,1204706000,Cotabato,MAGPET,0.3231035570499148,-0.028740413483737196,NOT_SIGNIFICANT,-0.1932804211232499,0.8467393588987608,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204707000,Cotabato,MAKILALA,0.3231035570499148,0.059403083649242586,NOT_SIGNIFICANT,-0.4614740352070127,0.6444585456569124,NOT_SIGNIFICANT,0,0,0,NONE
2049-03,1204708000,Cotabato,MATALAM,0.3231035570499148,-0.27485278797988205,NOT_SIGNIFICANT,0.2548833684189788,0.7988131821983157,NOT_SIGNIFICANT,0,0,0,NONE
