PERIOD,BASE_REGIONAL_SCENARIO_CASES,REGIONAL_SCENARIO_CASES,REGIONAL_DYNAMIC_RATIO,ALLOCATED_MUNICIPAL_CASES,NEW_INFECTIONS_ESTIMATE,NEW_ART_ENROLLMENTS,NEWLY_VIRALLY_SUPPRESSED,TREATMENT_INTERRUPTION,PLHIV_ATTRITION,TOTAL_POPULATION,PLHIV_UNDIAGNOSED,PLHIV_DIAGNOSED_NOT_ON_ART,PLHIV_ON_ART_UNSUPPRESSED,PLHIV_VIRALLY_SUPPRESSED,TOTAL_PLHIV,EFFECTIVE_INFECTIOUS_POOL,ACTIVE_TESTING_CENTERS,NEW_TESTING_CENTERS_OPENED,PENDING_TESTING_CENTERS,MEAN_TESTING_ACCESS_SCORE,MEAN_ART_COVERAGE,MEAN_VIRAL_SUPPRESSION_COVERAGE,LOWER_95_SUM,UPPER_95_SUM,HOT_SPOT_MUNICIPALITIES,HIGH_OR_CRITICAL_PRESSURE,ACTIVE_ALERTS,GLOBAL_MORANS_I,MAX_TRANSMISSION_PRESSURE,REGIONAL_PLHIV_PREVALENCE_PER_100K,REGIONAL_EFFECTIVE_INFECTIOUS_POOL_PER_100K
2031-05,61.70179592888073,26.426089034787044,0.4282871938646084,26.426089034787044,8.7496373864394,60.09632730798872,56.62346962172539,16.02284456738908,4.4172261616367665,4832086.665394442,504.65472251583003,271.48518140727447,421.01836752323663,7486.626429641696,8683.784701088036,970.5409048651312,57.0,0,0,0.6489798186915942,0.8763009315536835,0.8216484264166978,1.1030418755402946,112.82204584886883,5,1,11,0.039720557003409596,65.5075808953479,179.7108641133857,20.08533728949388
2031-06,121.10492107897728,47.694732547824444,0.39382984706889684,47.694732547824444,13.752978952375878,60.48173986596872,56.807518978894436,16.112008475808196,4.389422558979614,4836379.243470394,472.3826225837024,274.48041034586043,422.676930268224,7525.9875863384295,8695.527549536217,919.5953424328062,57.0,0,0,0.6488303503005045,0.8794109125312529,0.8246521152182187,8.104184515906933,147.7559296995899,5,0,11,0.013782872459473515,64.05656553891995,179.79416236384,19.014128051979256
2031-07,85.23960230860979,35.61634212932529,0.4178379669156175,35.61634212932529,10.33259825459445,58.3846083983042,56.68301693765973,16.194653018954227,4.361079666946481,4840639.34881681,448.772426384333,267.5853089393207,422.36140839293716,7565.127641977053,8703.846785693644,874.624094670914,57.0,0,0,0.6486818562090574,0.8826885502105972,0.8280038664545372,3.4162304144426514,128.5531127768835,4,1,11,-0.0024159589625613563,68.10894396067495,179.80779311355042,18.06835898412256
2031-08,95.19396971570157,38.063544789029315,0.3998524791297889,38.063544789029315,10.99773478050082,57.21703583599092,56.40489830458189,16.274440850133352,4.333574120340179,4844822.229058136,423.3346326049514,264.3886112320015,421.15797630036076,7603.893698328369,8712.774918465682,826.0928785898087,57.0,0,0,0.6485356661729874,0.8858125617810748,0.8313035964344845,5.139147374360572,132.24229990680575,4,0,11,-0.023189481806795836,61.58514445376293,179.8368341816228,17.05104624138926
2031-09,55.26852092593227,23.333470032000598,0.4221837248597766,23.333470032000598,7.363476259549064,53.36303669021146,55.659895334002805,16.342406146900096,4.3068108369617235,4848902.156921232,408.8941976580297,250.4006089798259,416.8599537961133,7641.820644970354,8717.975405404322,804.6099161721894,57.0,0,0,0.6483925483426277,0.8888979462849241,0.8347945982222241,1.0857179565548334,107.71498134227512,4,1,11,-0.035689422738967504,70.81088563160324,179.79276799719392,16.593651307723427
2031-10,126.16269918736393,48.26301281130125,0.38254581680775523,48.26301281130125,13.534137624918301,55.54660834562171,55.29639935952692,16.41830234438857,4.280816786831317,4852879.286693202,375.4844782265472,259.2238734109461,415.11269245289225,7679.2909107335045,8729.11195482389,759.560580658073,57.0,0,0,0.6482525032135271,0.8915981267535309,0.8377251036500981,8.428540619023089,148.7337618636542,4,0,10,-0.055302447763765965,63.93865190218515,179.87490393094012,15.651750966499822
2031-11,174.41155356842066,58.968955399419244,0.3381023458190002,58.968955399419244,17.81779711163046,59.26603848638144,55.44053345828641,16.50749589329225,4.256429034911099,4856779.56161783,335.58792305214416,275.10376507381545,416.92854367411155,7716.811832305639,8744.432064105711,741.9305473940742,57.0,0,0,0.6481147634167886,0.8941410432160961,0.8402358822145536,13.504095816988235,165.40930774571092,5,2,10,-0.08020579186658569,71.13519605090785,180.04589158649964,15.276183281147961
2031-12,55.002672944290765,22.242070848566808,0.40438163561786533,22.242070848566808,7.26580539499778,54.9092001560051,55.00709758000198,16.58230942168727,4.229423826451287,4860647.711407546,321.99035619020106,258.70812245383877,414.8255853389805,7753.806791383799,8749.33085536682,734.6841887715448,57.0,0,0,0.6479779993932727,0.8972885977223568,0.8436301393873574,1.7492714993403755,105.27623310260931,5,1,9,-0.08748289200443671,65.72082703832871,180.00339409154975,15.114944188349643
2032-01,29.315364700569386,12.473909328200417,0.4255075608170121,12.473909328200417,4.965504237662115,49.55712655814382,53.95307436012129,16.64005919661387,4.204705952597358,4864535.236341918,315.96419816842507,237.97904646320467,408.4478125824566,7789.65750179124,8752.048559005327,708.1622766547629,57.0,0,0,0.6478406756871513,0.9001921293838825,0.8471221204633022,0.0,87.26390011067068,5,5,10,-0.09139501471915665,70.32855379322018,179.91541090340172,14.557655402806658
2032-02,149.5012890417364,44.83342812093797,0.29988656558286786,44.83342812093797,15.5219270948014,51.684524238949784,53.299496128584714,16.70690169996969,4.185634936823407,4868486.613590151,288.18408707225774,247.53745022270834,404.86190295212594,7824.765726365068,8765.34916661216,659.8587675892627,57.0,0,0,0.6477014622094012,0.9021717151306352,0.8494795814837222,7.776765698153677,144.30665106307123,2,1,7,-0.12037267016587702,76.69829926483932,180.0425853517621,13.553673245137372
